gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math score,reading score,writing score,avg_score,performance
female,group B,some college,free/reduced,none,69,79,74,74.0,High
male,group D,some college,free/reduced,completed,76,76,72,74.7,High
male,group E,master's degree,standard,completed,79,75,85,79.7,High
male,group D,some college,standard,none,82,81,88,83.7,High
female,group E,some college,standard,none,76,82,85,81.0,High
female,group D,bachelor's degree,free/reduced,none,45,56,49,50.0,Average
female,group D,associate's degree,free/reduced,none,75,71,98,81.3,High
male,group E,bachelor's degree,standard,none,81,79,73,77.7,High
male,group C,high school,free/reduced,completed,58,65,48,57.0,Average
male,group C,associate's degree,standard,none,80,73,80,77.7,High
female,group C,some high school,standard,none,52,55,44,50.3,Average
male,group E,high school,standard,none,85,74,76,78.3,High
male,group E,master's degree,standard,completed,69,53,57,59.7,Average
female,group A,high school,standard,none,76,80,73,76.3,High
female,group D,associate's degree,standard,completed,61,63,58,60.7,Average
female,group E,associate's degree,standard,none,44,48,51,47.7,Low
female,group B,some college,free/reduced,completed,55,57,52,54.7,Average
male,group D,master's degree,standard,completed,71,67,72,70.0,High
female,group E,some high school,standard,none,68,69,77,71.3,High
female,group A,bachelor's degree,free/reduced,none,82,70,76,76.0,High
male,group D,master's degree,standard,none,53,66,55,58.0,Average
female,group C,associate's degree,standard,none,64,55,69,62.7,Average
female,group E,master's degree,free/reduced,completed,95,93,83,90.3,High
female,group E,high school,standard,completed,79,70,61,70.0,High
female,group E,associate's degree,standard,completed,96,98,100,98.0,High
male,group C,some college,standard,completed,63,62,70,65.0,Average
female,group E,bachelor's degree,free/reduced,none,40,38,56,44.7,Low
female,group E,master's degree,standard,none,60,65,61,62.0,Average
male,group C,some college,free/reduced,completed,88,85,95,89.3,High
female,group E,bachelor's degree,standard,none,55,60,56,57.0,Average
male,group A,some college,standard,completed,77,68,80,75.0,High
female,group D,associate's degree,standard,none,72,62,86,73.3,High
female,group C,associate's degree,free/reduced,none,50,53,38,47.0,Low
male,group B,master's degree,standard,completed,74,67,73,71.3,High
male,group B,associate's degree,standard,none,54,61,73,62.7,Average
male,group D,some college,standard,completed,80,79,82,80.3,High
female,group C,high school,standard,completed,68,70,84,74.0,High
female,group D,high school,free/reduced,completed,100,89,100,96.3,High
male,group A,some college,standard,completed,76,94,78,82.7,High
female,group C,some college,standard,none,77,77,80,78.0,High
female,group D,master's degree,standard,completed,92,91,72,85.0,High
female,group E,associate's degree,free/reduced,none,70,65,64,66.3,Average
female,group C,associate's degree,standard,none,50,55,46,50.3,Average
male,group D,high school,standard,none,67,58,75,66.7,Average
